	b1Bleach1	b1Bleach2	b1Bleach3	b1Filtrate1	b1Filtrate2	b1Filtrate3	b1Retentate1	b1Retentate2	b1Retentate3
74319de4ab6bdd3e05b75013943319bb	0	0	17	0	0	0	0	0	0
dc9998becbacf910e2ecfbca5ad4b347	0	0	0	0	0	0	15	16	10
bdbab1c5da6f8b98da38c5da8d7e270d	24	0	0	0	0	0	0	0	0
3ec792962f2e7f56f412817cbcf45113	0	0	0	0	14	12	198	165	172
51c8ee740deadef097e152b12cbfdafa	0	0	0	0	16	0	87	46	375
cc7301e00f11b339efcfae5ba7aa2142	0	0	0	0	0	0	0	0	28
cad4ac070aa838c79e2775924563b62c	0	0	14	0	0	0	0	20	0
c4dd09383c85c8df21ddf889c015ed8f	0	0	17	0	0	0	0	0	0
d281f493228a6ab4facf8012f482b41f	202	14	196	299	3	0	0	0	10
15af5076ada928d1c1367a24564f0060	0	0	0	0	0	0	0	0	15
406687e04f15221199f0e32e6b5cbe76	0	0	0	0	0	0	0	0	27
276a89bf353c5f6d1b4027519b71a8e7	0	0	0	0	0	0	0	0	4
e7a40a6b3a4b011c7451d1363cb568c8	0	0	0	0	8	0	0	13	0
6284c5146b6f7b4466493dc20c9c6d21	0	22	0	0	0	0	0	0	0
4cbafeef425d5ab69d3fe743546340bf	0	0	0	0	0	0	0	0	11
e1cf2a6d345bd7aa410f62fa75b8c115	0	10	0	0	0	0	0	0	0
cf3882e28b59cec1cac3d0ee62995f7d	0	0	0	0	0	0	0	5	1
474b6d11b1d95f9351e86821e8ca2792	0	0	31	0	0	0	0	0	0
440d96ee2fc59d557b6a72c48f503016	0	0	0	0	49	2	30	9	2
4abb828b722c06cb12c764a081a69c1d	19	0	44	0	0	0	0	0	0
561db51c802b8e201b70742658a553ea	0	0	65	0	0	0	0	0	2134
7fb6c047c3624aaed46e406b1983ddd0	0	0	0	0	165	0	102	9	801
97ee7e1520008c8421c4e8b8e8021dc1	0	0	20	0	0	0	0	0	0
029494b31a26e5a405bfc6a25703b482	0	0	0	256	0	0	0	0	0
e826ae416366d813501605881b72e041	0	0	25	0	0	0	0	0	0
dc3c721afc493896da9f0f921329568a	0	0	0	0	0	0	0	0	14
dcaefdcb8b4ffc2a44d7271e2e5ac6e0	0	0	0	0	234	46	28	31	57
59b04afd27b41d120344bdd284ec4b00	0	0	48	0	0	0	0	0	0
463bab717dff048954f80025f63ae272	0	0	0	0	0	0	0	0	8
108551344514b94c31ce38aa4bb8ecd5	0	0	0	0	0	0	396	322	459
3167d7651a7ee05a60069d4b943b6e92	0	0	25	0	0	0	0	0	0
1fec16f605a3f8bb54b69d4727ce2089	0	41	0	0	11	0	148	102	80
acd191a5f307d0579b3126166f102435	135	112	52	328	0	0	7	0	0
71c895520e0b8cbc619040c2a49005e6	23	0	0	0	0	0	0	0	0
2e371beb95bfbb6eb92ccd5987360ca4	0	0	79	0	21	10	156	83	113
e0a6486b1f8ef98b0f6e1f434e929950	0	7	0	0	0	0	0	0	0
9a81182ff126c816d27b74e45c93ee17	0	0	0	0	0	0	0	6	0
39b4b6a1fb67502036692304c6b9cad7	0	0	0	0	14	0	11	7	82
3db5f456874d0853c2d907762d338b01	0	58	0	0	0	0	0	0	5
92be37add0f9f5d3ddeca358dd4209e4	0	6	0	0	0	0	0	0	0
3f34a0832716e647ce94b79389be1d6e	0	0	0	0	0	0	0	3	0
2fddc61798c3c1cc29dc8d7e53bbc6ab	70	11	0	0	5	0	0	0	0
714a24133711182b0b2fa57eadb5fa9f	38	12	0	0	701	287	25198	29175	29076
3dac23b6a271a1250ba3f168889f69ee	0	33	0	0	0	0	0	0	0
8ca144199ad655306c14ba1724093bf3	0	8	0	145	0	0	0	0	0
dcc9c5e45319d62b677c97e0437ce4db	0	0	17	0	0	0	0	0	0
2a624b98968c7e4bcee6765791143be6	85	162	20	0	30	0	0	40	168
82c194bbb5bf9137d2fdd5b6f0ddd956	0	0	0	0	30	12	11	23	0
81954786ea793a79b3a7f7feabc26105	19	0	0	0	0	0	0	0	0
26a930ff8d7ae487ae9b3beaf07b53ca	39	26	100	0	0	0	0	9	0
285551323b9651448805adf804ab162b	56	86	84	0	27	0	0	17	18
ba064f4886de1cd64ee5bf2b0c977e36	0	0	0	0	217	0	168	0	6486
60153c59b79cdfdcf925509f2536328c	58	65	21	34	11	0	0	9	4
5e1680bd0acf5fa5c245f218c823a437	0	52	0	0	0	0	0	0	0
f22d44c089cd14fc6e863f62a63bd69f	0	0	13	0	0	0	0	0	0
d89e1372ca866afe210af24ff07e58e7	0	0	0	0	0	0	0	0	6
8aec1144dbab18329da7f84ae4763ac3	14	0	0	0	8	0	8	0	6
e973225651ad0e2576c309e78b0d66cf	0	79	33	0	0	0	6	0	4
10fd6922d57cfdb4c751469901e82c85	0	0	10	0	0	0	0	0	0
2835f782db71c30a486cfec13cd32a0e	0	0	0	0	53	25	0	0	0
af2e059e85fce34ed72f38b4d38d341c	53	25	41	0	7	0	0	8	5
8c4d4874aac62cbd4c37130efb0e8a9a	0	34	0	0	0	0	0	0	0
60e961278776cd9635925eee331f7c0c	0	0	0	0	1	0	0	0	0
2f8493f5ce6909b0121da4dd833e908a	0	0	0	0	0	0	0	0	34
ca34babbb8c49fd5c620d7187e2ea786	0	0	21	0	0	0	0	0	0
60c42e0d74ffcafec1ff5f25ad485f6c	0	0	0	0	0	0	74	50	43
ad723b12d9f4e680bc1c8cc9829bec78	0	0	0	0	0	0	0	0	13
1241009641f0d0325e7ecae0dc0827fb	0	0	0	0	0	0	4	0	0
c9c8347e752c8c49b1062ab8654af328	0	0	0	0	125	52	49	56	37
2109d0ba745230f3f6a0682381ff151a	0	0	0	0	75	13	13	8	0
b85b973e0a5878d82e76a4e510aa65c5	26	0	0	0	0	0	0	0	0
9d8777920562ea0c17846e963b3e9631	0	0	0	151	0	0	0	0	0
4804bf81cce515c85f01906256087392	0	0	0	0	14	0	0	0	36
1b49aa290721414c6f85361d4d5d24d4	0	0	0	0	17	0	13	15	10
0e43256777faa593680ecb53e574ae14	659	261	533	0	20	10	20	103	91
541fd025295142ce763abeeecf0be3fe	0	0	0	0	37	0	24	0	233
1797785098475f6f1699513f8c6c1900	0	0	0	0	470	144	24	23	65
6e66e5a33c88b717209a111b941874d9	0	0	0	0	21	0	120	86	54
9866c6b34c49c3b84fa58a0fde45b1ae	0	0	0	0	0	0	0	0	8
510f5387eeff0aa888d07a38253c50ea	0	16	0	0	0	0	0	0	0
d97eac20c65882ddf6a0c5c2b01c1473	0	0	0	0	41	13	22	16	55
e65cd03e9ed6484ac5d3bce489117ea0	0	0	0	0	0	0	0	4	0
91f21ca858779df153e1d2d20f29ac26	0	0	0	0	0	0	26	10	13
5d54be8bdadd81256b3a91d04c952576	25	0	0	0	0	0	0	0	0
66f7e6f941b89af412359835b95ff487	0	0	12	0	0	0	0	0	0
6d2487c1daa9dd9aff608f1b335705d0	0	13	0	0	0	0	0	0	0
8da9aede04a7a09e9816086b3aaf5877	0	0	0	0	0	0	0	0	10
2216ed2d677a82aee36f5ec46ef5911a	0	0	20	0	0	0	0	0	0
c607ca463908d557ed7f1bb817c7246f	0	0	0	0	0	0	0	0	95
4533505c567aa9d4eec802f42b0818c4	0	0	119	0	0	0	0	32	0
005ccbd0c2322d6d40ea893cbb5e8164	0	0	5	0	0	0	0	0	0
4e74e2a99da77e7dc5bb114af0d28c13	65	107	268	0	0	0	4	9	34
af83cefb749b95f4f81f6a188c18e9db	0	0	69	0	0	0	0	4	0
8881a2e2e4b4b89ee17f499feb586b7f	0	0	0	0	0	0	162	101	0
